,Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
0,07.11.2024,,0.0,0.0,,,0,0,0
1,06.11.2024,,0.0,0.0,,,0,0,0
2,05.11.2024,,0.0,0.0,,,0,0,0
3,07.11.2024,,0.0,0.0,,,0,0,0
4,06.11.2024,,0.0,0.0,,,0,0,0
5,05.11.2024,,0.0,0.0,,,0,0,0
6,07.11.2024,,0.0,0.0,,,0,0,0
7,06.11.2024,,0.0,0.0,,,0,0,0
8,05.11.2024,,0.0,0.0,,,0,0,0
9,07.11.2024,,0.0,0.0,,,0,0,0
10,06.11.2024,,0.0,0.0,,,0,0,0
11,05.11.2024,,0.0,0.0,,,0,0,0
12,07.11.2024,,0.0,0.0,,,0,0,0
13,06.11.2024,,0.0,0.0,,,0,0,0
14,05.11.2024,,0.0,0.0,,,0,0,0
15,07.11.2024,,0.0,0.0,,,0,0,0
16,06.11.2024,,0.0,0.0,,,0,0,0
17,05.11.2024,,0.0,0.0,,,0,0,0
18,07.11.2024,,0.0,0.0,,,0,0,0
19,06.11.2024,,0.0,0.0,,,0,0,0
20,05.11.2024,,0.0,0.0,,,0,0,0
21,07.11.2024,,0.0,0.0,,,0,0,0
22,06.11.2024,,0.0,0.0,,,0,0,0
23,05.11.2024,,0.0,0.0,,,0,0,0
24,07.11.2024,,0.0,0.0,,,0,0,0
25,06.11.2024,,0.0,0.0,,,0,0,0
26,05.11.2024,,0.0,0.0,,,0,0,0
27,07.11.2024,,0.0,0.0,,,0,0,0
28,06.11.2024,,0.0,0.0,,,0,0,0
29,05.11.2024,,0.0,0.0,,,0,0,0
