,Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
0,07.11.2024,"1.631,00","1.631,00","1.600,00","1.606,01","0,38",1.234,1.981.820,1.981.820
1,06.11.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-0,83",370.0,592.000,592.000
2,05.11.2024,"1.590,00","1.630,00","1.590,00","1.613,33","-1,02",84.0,135.520,135.520
3,04.11.2024,"1.630,00","1.630,00","1.630,00","1.630,00","1,88",100.0,163.000,163.000
4,01.11.2024,"1.600,00",0,0,"1.600,00","0,00",0.0,0,0
5,31.10.2024,"1.600,00","1.600,00","1.600,00","1.600,00","0,00",268.0,428.800,428.800
6,30.10.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-1,84",88.0,140.800,140.800
7,29.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,68",10.0,16.300,16.300
8,28.10.2024,"1.600,00",0,0,"1.619,05","0,00",0.0,0,0
9,25.10.2024,"1.600,00","1.630,00","1.600,00","1.619,05","-0,80",494.0,799.810,799.810
10,24.10.2024,"1.670,00","1.670,00","1.630,00","1.632,16","0,13",185.0,301.950,301.950
11,22.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,00",100.0,163.000,163.000
12,21.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,00",120.0,195.600,195.600
13,18.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","1,82",250.0,407.500,407.500
14,17.10.2024,"1.601,00","1.601,00","1.600,00","1.600,94","-1,42",116.0,185.709,185.709
15,16.10.2024,"1.600,00","1.630,00","1.600,00","1.623,94","1,46",297.0,482.310,482.310
16,15.10.2024,"1.600,00",0,0,"1.600,62","0,00",0.0,0,0
17,14.10.2024,"1.600,00","1.601,00","1.600,00","1.600,62","-1,80",162.0,259.300,259.300
18,10.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,00",10.0,16.300,16.300
19,09.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","0,00",200.0,326.000,326.000
20,08.10.2024,"1.630,00","1.630,00","1.630,00","1.630,00","1,88",57.0,92.910,92.910
21,07.10.2024,"1.600,00",0,0,"1.600,00","0,00",0.0,0,0
22,04.10.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-2,99",15.0,24.000,24.000
23,03.10.2024,"1.650,00","1.650,00","1.639,00","1.649,25","0,60",1.02,1.682.230,1.682.230
24,02.10.2024,"1.649,00","1.698,00","1.600,00","1.639,34","-6,86",2.44,3.999.992,3.999.992
25,01.10.2024,"1.760,00",0,0,"1.760,00","0,00",0.0,0,0
26,30.9.2024,"1.760,00",0,0,"1.760,00","0,00",0.0,0,0
27,27.9.2024,"1.760,00",0,0,"1.760,00","0,00",0.0,0,0
28,26.9.2024,"1.760,00",0,0,"1.760,00","0,00",0.0,0,0
29,25.9.2024,"1.760,00",0,0,"1.760,00","0,00",0.0,0,0
30,24.9.2024,"1.760,00","1.760,00","1.760,00","1.760,00","-2,17",25.0,44.000,44.000
31,23.9.2024,"1.799,00",0,0,"1.799,00","0,00",0.0,0,0
32,20.9.2024,"1.799,00","1.799,00","1.799,00","1.799,00","1,80",200.0,359.800,359.800
33,19.9.2024,"1.799,00","1.800,00","1.640,00","1.767,14","7,19",495.0,874.735,874.735
