Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
11/6/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
11/5/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
11/4/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
11/1/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/31/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/30/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/29/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/28/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/25/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/24/2024,"3,700.00","3,700.00","3,700.00","3,700.00",0.00,19,"70,300","70,300"
10/22/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/21/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/18/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/17/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/16/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/15/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/14/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/10/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/9/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/8/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/7/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/4/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
10/3/2024,"3,700.00","3,700.00","3,700.00","3,700.00",-1.97,166,"614,200","614,200"
10/2/2024,"3,900.00",,,"3,774.50",0.00,0,0,0
10/1/2024,"3,900.00",,,"3,774.50",0.00,0,0,0
9/30/2024,"3,900.00",,,"3,774.50",0.00,0,0,0
9/27/2024,"3,900.00",,,"3,774.50",0.00,0,0,0
9/26/2024,"3,900.00","3,900.00","3,699.00","3,774.50",2.12,40,"150,980","150,980"
9/25/2024,"3,699.00","3,699.00","3,695.00","3,696.18",-0.01,197,"728,148","728,148"
9/24/2024,"3,699.00","3,699.00","3,690.00","3,696.66",-0.06,50,"184,833","184,833"
9/23/2024,"3,699.00",,,"3,699.00",0.00,0,0,0
9/20/2024,"3,699.00",,,"3,699.00",0.00,0,0,0
9/19/2024,"3,699.00",,,"3,699.00",0.00,0,0,0
9/18/2024,"3,699.00","3,699.00","3,699.00","3,699.00",-0.03,119,"440,181","440,181"
9/17/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
9/16/2024,"3,700.00","3,700.00","3,700.00","3,700.00",-0.05,24,"88,800","88,800"
9/13/2024,"3,702.00","3,702.00","3,702.00","3,702.00",0.05,19,"70,338","70,338"
9/12/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
9/11/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
9/10/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
9/6/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
9/5/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
9/4/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
9/3/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
9/2/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
8/30/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
8/29/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
8/27/2024,"3,700.00","3,700.00","3,700.00","3,700.00",0.00,146,"540,200","540,200"
8/26/2024,"3,700.00","3,700.00","3,700.00","3,700.00",0.00,110,"407,000","407,000"
8/23/2024,"3,700.00","3,700.00","3,700.00","3,700.00",0.00,10,"37,000","37,000"
8/22/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
8/21/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
8/20/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
8/19/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
8/16/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
8/15/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
8/14/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
8/13/2024,"3,700.00",,,"3,700.00",0.00,0,0,0
