,Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
0,07.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
1,06.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
2,05.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
3,04.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
4,01.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
5,31.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
6,30.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,3.300.000
7,29.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
8,28.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
9,25.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
10,07.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
11,06.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
12,05.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
13,04.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
14,01.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
15,31.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
16,30.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,3.300.000
17,29.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
18,28.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
19,25.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
20,07.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
21,06.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
22,05.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
23,04.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
24,01.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
25,31.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
26,30.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,3.300.000
27,29.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
28,28.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
29,25.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
30,07.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
31,06.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
32,05.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
33,04.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
34,01.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
35,31.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
36,30.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,3.300.000
37,29.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
38,28.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
39,25.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
40,07.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
41,06.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
42,05.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
43,04.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
44,01.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
45,31.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
46,30.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,3.300.000
47,29.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
48,28.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
49,25.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
50,07.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
51,06.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
52,05.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
53,04.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
54,01.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
55,31.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
56,30.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,3.300.000
57,29.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
58,28.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
59,25.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
60,07.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
61,06.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
62,05.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
63,04.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
64,01.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
65,31.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
66,30.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,3.300.000
67,29.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
68,28.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
69,25.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
70,07.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
71,06.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
72,05.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
73,04.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
74,01.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
75,31.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
76,30.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,3.300.000
77,29.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
78,28.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
79,25.10.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
80,07.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
81,06.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
82,05.11.2024,"12.360,00",0.0,0.0,"12.360,00","0,00",0,0,0
