,Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
0,07.11.2024,"3.300,00",0,0,"3.300,00","0,00",0.0,0,0
1,06.11.2024,"3.300,00",0,0,"3.300,00","0,00",0.0,0,0
2,05.11.2024,"3.300,00",0,0,"3.300,00","0,00",0.0,0,0
3,04.11.2024,"3.300,00",0,0,"3.300,00","0,00",0.0,0,0
4,01.11.2024,"3.300,00",0,0,"3.300,00","0,00",0.0,0,0
5,31.10.2024,"3.300,00","3.300,00","3.300,00","3.300,00","1,51",836.0,2.758.800,2.758.800
6,30.10.2024,"3.300,00",0,0,"3.251,03","0,00",0.0,0,0
7,29.10.2024,"3.300,00",0,0,"3.251,03","0,00",0.0,0,0
8,28.10.2024,"3.300,00","3.300,00","3.250,00","3.251,03","1,59",242.0,786.750,41.300.850
9,25.10.2024,"3.200,00",0,0,"3.200,00","0,00",0.0,0,0
10,24.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",150.0,480.000,480.000
11,22.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",90.0,288.000,288.000
12,21.10.2024,"3.200,00",0,0,"3.200,00","0,00",0.0,0,0
13,18.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",111.0,355.200,355.200
14,17.10.2024,"3.200,00",0,0,"3.200,00","0,00",0.0,0,0
15,16.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",504.0,1.612.800,1.612.800
16,15.10.2024,"3.200,00",0,0,"3.200,00","0,00",0.0,0,48.136.760
17,14.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","-1,52",540.0,1.728.000,1.728.000
18,10.10.2024,"3.250,00","3.250,00","3.220,00","3.249,45","1,52",219.0,711.630,29.895.930
19,09.10.2024,"3.201,00","3.201,00","3.200,00","3.200,78","0,02",654.0,2.093.308,2.093.308
20,08.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",156.0,499.200,499.200
21,07.10.2024,"3.199,00","3.200,00","3.199,00","3.199,87","0,00",1.145,3.663.847,3.663.847
22,04.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",9.408,30.105.600,30.105.600
23,03.10.2024,"3.200,00",0,0,"3.200,00","0,00",0.0,0,0
24,02.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",352.0,1.126.400,1.126.400
25,01.10.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",100.0,320.000,320.000
26,30.9.2024,"3.220,00",0,0,"3.200,05","0,00",0.0,0,0
27,27.9.2024,"3.220,00",0,0,"3.200,05","0,00",0.0,0,0
28,26.9.2024,"3.220,00",0,0,"3.200,05","0,00",0.0,0,0
29,25.9.2024,"3.220,00",0,0,"3.200,05","0,00",0.0,0,0
30,24.9.2024,"3.220,00",0,0,"3.200,05","0,00",0.0,0,0
31,23.9.2024,"3.220,00","3.220,00","3.200,00","3.200,05","-0,93",432.0,1.382.420,1.382.420
32,20.9.2024,"3.230,00","3.230,00","3.230,00","3.230,00","-0,57",70.0,226.100,226.100
33,19.9.2024,"3.250,00","3.250,00","3.200,00","3.248,61","1,49",3.614,11.740.480,16.862.480
34,18.9.2024,"3.201,00","3.201,00","3.200,00","3.200,83","0,03",90.0,288.075,288.075
35,17.9.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",15.0,48.000,48.000
36,16.9.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",1.167,3.734.400,9.294.752
37,13.9.2024,"3.200,00","3.201,00","3.200,00","3.200,05","0,00",1.344,4.300.862,4.300.862
38,12.9.2024,"3.200,00","3.200,00","3.199,00","3.199,97","6,12",3.839,12.284.683,12.284.683
39,11.9.2024,"3.015,00","3.016,00","3.015,00","3.015,55","0,02",40.0,120.622,120.622
40,10.9.2024,"3.015,00","3.015,00","3.015,00","3.015,00","-7,55",17.0,51.255,51.255
41,06.9.2024,"3.250,00",0,0,"3.261,05","0,00",0.0,0,0
42,05.9.2024,"3.250,00",0,0,"3.261,05","0,00",0.0,0,0
43,04.9.2024,"3.250,00",0,0,"3.261,05","0,00",0.0,0,0
44,03.9.2024,"3.250,00",0,0,"3.261,05","0,00",0.0,0,3.200.000
45,02.9.2024,"3.250,00",0,0,"3.261,05","0,00",0.0,0,0
46,30.8.2024,"3.250,00",0,0,"3.261,05","0,00",0.0,0,0
47,29.8.2024,"3.250,00","3.270,00","3.250,00","3.261,05","0,52",324.0,1.056.580,1.056.580
48,27.8.2024,"3.275,00","3.298,00","3.199,00","3.244,20","1,30",3.016,9.784.516,9.784.516
49,26.8.2024,"3.210,00",0,0,"3.202,64","0,00",0.0,0,0
50,23.8.2024,"3.210,00","3.210,00","3.150,00","3.202,64","0,08",1.849,5.921.677,5.921.677
51,22.8.2024,"3.200,00",0,0,"3.200,00","0,00",0.0,0,0
52,21.8.2024,"3.200,00",0,0,"3.200,00","0,00",0.0,0,0
53,20.8.2024,"3.200,00",0,0,"3.200,00","0,00",0.0,0,0
54,19.8.2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,31",51.0,163.200,163.200
55,16.8.2024,"3.190,00","3.190,00","3.190,00","3.190,00","-4,77",30.0,95.700,95.700
56,15.8.2024,"3.341,00",0,0,"3.349,73","0,00",0.0,0,0
57,14.8.2024,"3.341,00","3.350,00","3.341,00","3.349,73","-9,76",134.0,448.864,448.864
58,13.8.2024,"3.700,00",0,0,"3.712,20","0,00",0.0,0,0
59,12.8.2024,"3.700,00",0,0,"3.712,20","0,00",0.0,0,0
60,09.8.2024,"3.700,00",0,0,"3.712,20","0,00",0.0,0,0
61,08.8.2024,"3.700,00","4.000,00","3.699,00","3.712,20","0,35",660.0,2.450.052,2.450.052
62,07.8.2024,"3.700,00","3.700,00","3.697,00","3.699,12","9,02",89.0,329.222,329.222
63,06.8.2024,"3.393,00","3.393,00","3.393,00","3.393,00","1,28",65.0,220.545,220.545
64,05.8.2024,"3.350,00","3.350,00","3.350,00","3.350,00","1,69",4.0,13.400,13.400
65,01.8.2024,"3.300,00","3.300,00","3.290,00","3.294,26","6,94",47.0,154.830,154.830
66,31.7.2024,"3.010,00","3.100,00","3.010,00","3.080,43","-0,63",128.0,394.295,394.295
67,30.7.2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",10.0,31.000,31.000
68,29.7.2024,"3.100,00",0,0,"3.100,00","0,00",0.0,0,0
69,26.7.2024,"3.100,00",0,0,"3.100,00","0,00",0.0,0,0
70,25.7.2024,"3.100,00",0,0,"3.100,00","0,00",0.0,0,0
71,24.7.2024,"3.100,00",0,0,"3.100,00","0,00",0.0,0,0
72,23.7.2024,"3.100,00",0,0,"3.100,00","0,00",0.0,0,0
73,22.7.2024,"3.100,00",0,0,"3.100,00","0,00",0.0,0,0
74,19.7.2024,"3.100,00",0,0,"3.100,00","0,00",0.0,0,0
75,18.7.2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",5.0,15.500,15.500
76,17.7.2024,"3.100,00",0,0,"3.100,00","0,00",0.0,0,0
77,16.7.2024,"3.100,00",0,0,"3.100,00","0,00",0.0,0,0
78,15.7.2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",117.0,362.700,362.700
79,12.7.2024,"3.100,00",0,0,"3.100,00","0,00",0.0,0,0
80,11.7.2024,"3.100,00",0,0,"3.100,00","0,00",0.0,0,0
81,10.7.2024,"3.100,00","3.100,00","3.100,00","3.100,00","-0,03",35.0,108.500,108.500
82,09.7.2024,"3.101,00",0,0,"3.101,00","0,00",0.0,0,0
83,08.7.2024,"3.101,00",0,0,"3.101,00","0,00",0.0,0,0
