,Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
0,07.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
1,06.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
2,05.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
3,04.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
4,01.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
5,31.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
6,30.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
7,29.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
8,28.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
9,25.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
10,24.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
11,22.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
12,21.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,5.000.100
13,18.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
14,07.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
15,06.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
16,05.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
17,04.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
18,01.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
19,31.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
20,30.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
21,29.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
22,28.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
23,25.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
24,24.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
25,22.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
26,21.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,5.000.100
27,18.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
28,07.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
29,06.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
30,05.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
31,04.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
32,01.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
33,31.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
34,30.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
35,29.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
36,28.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
37,25.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
38,24.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
39,22.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
40,21.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,5.000.100
41,18.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
42,07.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
43,06.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
44,05.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
45,04.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
46,01.11.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
47,31.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
48,30.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
49,29.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
50,28.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
51,25.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
52,24.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
53,22.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
54,21.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,5.000.100
55,18.10.2024,"1.400,00",0.0,0.0,"1.400,00","0,00",0,0,0
