Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
07.11.2024,"1.967,00","1.975,00","1.967,00","1.969,28","-0,28",642,1.264.276,1.264.276
06.11.2024,"1.975,00","1.990,00","1.970,00","1.974,75","0,29",295,582.550,582.550
05.11.2024,"1.969,00","1.969,00","1.969,00","1.969,00","-1,40",25,49.225,49.225
04.11.2024,"1.997,00","1.997,00","1.997,00","1.997,00","0,00",27,53.919,53.919
01.11.2024,"1.997,00","1.997,00","1.997,00","1.997,00","2,02",138,275.586,275.586
31.10.2024,"1.960,00","1.960,00","1.950,00","1.957,51","0,99",1.065,2.084.750,2.084.750
30.10.2024,"1.938,00","1.949,00","1.920,00","1.938,29","0,95",434,841.220,841.220
29.10.2024,"1.920,00",,,"1.920,00","0,00",0,0,0
28.10.2024,"1.920,00","1.920,00","1.920,00","1.920,00","0,35",115,220.800,220.800
25.10.2024,"1.900,00","1.919,00","1.900,00","1.913,26","-0,35",43,82.270,82.270
24.10.2024,"1.920,00",,,"1.920,00","0,00",0,0,0
22.10.2024,"1.920,00","1.920,00","1.920,00","1.920,00","0,00",300,576.000,576.000
21.10.2024,"1.920,00","1.920,00","1.920,00","1.920,00","-1,44",65,124.800,124.800
18.10.2024,"1.948,00","1.948,00","1.948,00","1.948,00","1,10",5,9.740,9.740
17.10.2024,"1.920,00",,,"1.926,71","0,00",0,0,0
16.10.2024,"1.920,00","1.950,00","1.899,00","1.926,71","-1,19",112,215.792,215.792
15.10.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,00",560,1.092.000,1.092.000
14.10.2024,"1.950,00",,,"1.950,00","0,00",0,0,0
10.10.2024,"1.950,00",,,"1.950,00","0,00",0,0,0
09.10.2024,"1.950,00","1.950,00","1.950,00","1.950,00","-0,46",95,185.250,185.250
08.10.2024,"1.959,00","1.959,00","1.959,00","1.959,00","1,09",10,19.590,19.590
07.10.2024,"1.939,00","1.939,00","1.935,00","1.937,92","-1,09",425,823.615,823.615
04.10.2024,"1.959,00","1.965,00","1.959,00","1.959,34","1,04",318,623.070,623.070
03.10.2024,"1.940,00",,,"1.939,13","0,00",0,0,0
02.10.2024,"1.940,00","1.940,00","1.939,00","1.939,13","-0,99",265,513.870,513.870
01.10.2024,"1.939,00",,,"1.958,53","0,00",0,0,0
30.9.2024,"1.939,00","1.964,00","1.939,00","1.958,53","2,52",320,626.730,626.730
27.9.2024,"1.910,00","1.911,00","1.910,00","1.910,33","-2,69",150,286.550,286.550
26.9.2024,"1.964,00","1.964,00","1.963,00","1.963,15","2,95",59,115.826,115.826
25.9.2024,"1.791,00","1.930,00","1.791,00","1.906,83","-4,13",60,114.410,114.410
24.9.2024,"1.989,00","1.989,00","1.989,00","1.989,00","0,00",2,3.978,3.978
23.9.2024,"1.989,00","1.989,00","1.989,00","1.989,00","0,00",1,1.989,1.989
20.9.2024,"1.989,00",,,"1.989,00","0,00",0,0,0
19.9.2024,"1.989,00",,,"1.989,00","0,00",0,0,0
18.9.2024,"1.989,00","1.989,00","1.989,00","1.989,00","0,58",30,59.670,59.670
17.9.2024,"1.984,00","1.984,00","1.970,00","1.977,46","-0,58",417,824.602,824.602
16.9.2024,"1.989,00","1.989,00","1.989,00","1.989,00","0,34",234,465.426,465.426
13.9.2024,"1.980,00","1.989,00","1.950,00","1.982,33","-0,15",721,1.429.262,1.429.262
12.9.2024,"1.989,00","1.990,00","1.960,00","1.985,36","-0,09",148,293.834,293.834
11.9.2024,"1.989,00","1.989,00","1.987,00","1.987,22","0,01",258,512.704,512.704
10.9.2024,"1.987,00","1.987,00","1.987,00","1.987,00","1,61",5,9.935,9.935
06.9.2024,"1.989,00",,,"1.955,43","0,00",0,0,0
05.9.2024,"1.989,00","1.989,00","1.955,00","1.955,43","-2,18",314,614.006,614.006
04.9.2024,"1.999,00","1.999,00","1.999,00","1.999,00","0,89",5,9.995,9.995
03.9.2024,"1.999,00","1.999,00","1.979,00","1.981,38","0,08",227,449.773,449.773
02.9.2024,"1.980,00","1.980,00","1.978,00","1.979,74","0,08",385,762.200,762.200
30.8.2024,"1.978,00","1.980,00","1.975,00","1.978,22","0,42",225,445.100,445.100
29.8.2024,"1.970,00","1.970,00","1.970,00","1.970,00","-1,49",80,157.600,157.600
27.8.2024,"2.000,00","2.000,00","1.999,00","1.999,83","1,21",590,1.179.900,1.179.900
26.8.2024,"1.976,00","1.976,00","1.976,00","1.976,00","2,97",400,790.400,790.400
23.8.2024,"1.999,00","1.999,00","1.915,00","1.919,00","3,17",210,402.990,402.990
22.8.2024,"1.860,00","1.860,00","1.860,00","1.860,00","0,24",80,148.800,148.800
21.8.2024,"1.840,00","1.868,00","1.840,00","1.855,50","-0,78",159,295.024,295.024
20.8.2024,"1.870,00","1.870,00","1.870,00","1.870,00","0,00",250,467.500,467.500
19.8.2024,"1.870,00","1.870,00","1.870,00","1.870,00","-0,01",160,299.200,299.200
16.8.2024,"1.800,00","1.885,00","1.800,00","1.870,10","2,02",299,559.160,559.160
15.8.2024,"1.820,00","1.845,00","1.820,00","1.833,08","1,84",130,238.300,238.300
14.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,0
13.8.2024,"1.800,00","1.800,00","1.800,00","1.800,00","-2,36",381,685.800,685.800
12.8.2024,"1.849,00","1.850,00","1.748,00","1.843,46","2,31",345,635.995,635.995
09.8.2024,"1.800,00","1.810,00","1.800,00","1.801,82","0,31",550,991.000,991.000
