Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
07.11.2024,"135,00","135,00","135,00","135,00","1,76",988,133.380,133.380
06.11.2024,"132,00","133,00","132,00","132,66","-1,73",623,82.646,82.646
05.11.2024,"135,00",,,"135,00","0,00",0,0,0
04.11.2024,"135,00",,,"135,00","0,00",0,0,0
01.11.2024,"135,00","135,00","135,00","135,00","0,00",850,114.750,114.750
31.10.2024,"135,00",,,"135,00","0,00",0,0,0
30.10.2024,"135,00",,,"135,00","0,00",0,0,0
29.10.2024,"135,00","135,00","135,00","135,00","0,00",927,125.145,125.145
28.10.2024,"135,00",,,"135,00","0,00",0,0,0
25.10.2024,"135,00","135,00","135,00","135,00","0,00",2.513,339.255,339.255
24.10.2024,"135,00","135,00","135,00","135,00","1,50",950,128.250,128.250
22.10.2024,"133,00","133,00","133,00","133,00","-1,48",90,11.970,11.970
21.10.2024,"135,00",,,"135,00","0,00",0,0,0
18.10.2024,"135,00",,,"135,00","0,00",0,0,0
17.10.2024,"135,00","135,00","135,00","135,00","-0,47",1.000,135.000,135.000
16.10.2024,"135,00",,,"135,64","0,00",0,0,0
15.10.2024,"135,00",,,"135,64","0,00",0,0,0
14.10.2024,"135,00",,,"135,64","0,00",0,0,0
10.10.2024,"135,00",,,"135,64","0,00",0,0,0
09.10.2024,"135,00","136,00","135,00","135,64","-0,26",700,94.950,94.950
08.10.2024,"136,00",,,"136,00","0,00",0,0,0
07.10.2024,"136,00","136,00","136,00","136,00","0,00",250,34.000,34.000
04.10.2024,"136,00",,,"136,00","0,00",0,0,0
03.10.2024,"136,00","136,00","136,00","136,00","-1,90",100,13.600,13.600
02.10.2024,"140,00","140,00","137,00","138,63","-0,98",1.835,254.395,254.395
01.10.2024,"140,00","140,00","140,00","140,00","3,70",300,42.000,42.000
30.9.2024,"135,00",,,"135,00","0,00",0,0,0
27.9.2024,"135,00",,,"135,00","0,00",0,0,0
26.9.2024,"135,00",,,"135,00","0,00",0,0,0
25.9.2024,"135,00","135,00","135,00","135,00","2,27",1.740,234.900,234.900
24.9.2024,"132,00","132,00","132,00","132,00","0,00",120,15.840,15.840
23.9.2024,"132,00",,,"132,00","0,00",0,0,0
20.9.2024,"132,00",,,"132,00","0,00",0,0,0
19.9.2024,"132,00","132,00","132,00","132,00","-1,49",209,27.588,27.588
18.9.2024,"134,00","134,00","134,00","134,00","-2,88",190,25.460,25.460
17.9.2024,"139,00",,,"137,98","0,00",0,0,0
16.9.2024,"139,00",,,"137,98","0,00",0,0,0
13.9.2024,"139,00","139,00","136,00","137,98","2,21",440,60.710,60.710
12.9.2024,"135,00",,,"135,00","0,00",0,0,0
11.9.2024,"135,00",,,"135,00","0,00",0,0,0
10.9.2024,"135,00",,,"135,00","0,00",0,0,0
06.9.2024,"135,00","135,00","135,00","135,00","0,00",445,60.075,60.075
05.9.2024,"135,00","135,00","135,00","135,00","0,00",400,54.000,54.000
04.9.2024,"135,00",,,"135,00","0,00",0,0,0
03.9.2024,"135,00",,,"135,00","0,00",0,0,0
02.9.2024,"135,00",,,"135,00","0,00",0,0,0
30.8.2024,"135,00",,,"135,00","0,00",0,0,0
29.8.2024,"135,00","135,00","135,00","135,00","0,00",350,47.250,47.250
27.8.2024,"135,00","135,00","135,00","135,00","0,00",793,107.055,107.055
26.8.2024,"135,00",,,"135,00","0,00",0,0,0
23.8.2024,"135,00","135,00","135,00","135,00","-2,88",175,23.625,23.625
22.8.2024,"139,00",,,"139,00","0,00",0,0,0
21.8.2024,"139,00",,,"139,00","0,00",0,0,0
20.8.2024,"139,00",,,"139,00","0,00",0,0,0
19.8.2024,"139,00",,,"139,00","0,00",0,0,0
16.8.2024,"139,00",,,"139,00","0,00",0,0,0
15.8.2024,"139,00",,,"139,00","0,00",0,0,0
14.8.2024,"139,00",,,"139,00","0,00",0,0,0
13.8.2024,"139,00",,,"139,00","0,00",0,0,0
12.8.2024,"139,00","139,00","139,00","139,00","-0,71",5.100,708.900,708.900
09.8.2024,"140,00",,,"140,00","0,00",0,0,0
08.8.2024,"140,00",,,"140,00","0,00",0,0,0
07.8.2024,"140,00",,,"140,00","0,00",0,0,0
06.8.2024,"140,00",,,"140,00","0,00",0,0,0
05.8.2024,"140,00","140,00","140,00","140,00","0,00",457,63.980,63.980
01.8.2024,"140,00",,,"140,00","0,00",0,0,0
31.7.2024,"140,00","140,00","140,00","140,00","-4,11",457,63.980,63.980
30.7.2024,"146,00","146,00","146,00","146,00","4,29",90,13.140,13.140
29.7.2024,"140,00","140,00","140,00","140,00","0,00",5.671,793.940,793.940
26.7.2024,"140,00","140,00","140,00","140,00","0,00",1.760,246.400,246.400
25.7.2024,"140,00",,,"140,00","0,00",0,0,0
24.7.2024,"140,00","140,00","140,00","140,00","2,19",200,28.000,28.000
23.7.2024,"137,00","137,00","137,00","137,00","-0,38",543,74.391,74.391
22.7.2024,"138,00","138,00","135,00","137,52","4,18",1.244,171.072,171.072
19.7.2024,"132,00",,,"132,00","0,00",0,0,0
18.7.2024,"132,00","132,00","132,00","132,00","-3,39",900,118.800,118.800
17.7.2024,"136,00","137,00","136,00","136,63","0,46",1.325,181.035,181.035
16.7.2024,"136,00",,,"136,00","0,00",0,0,0
15.7.2024,"136,00","136,00","136,00","136,00","-0,58",9.000,1.224.000,1.224.000
12.7.2024,"138,00",,,"136,80","0,00",0,0,0
11.7.2024,"138,00",,,"136,80","0,00",0,0,0
10.7.2024,"138,00",,,"136,80","0,00",0,0,0
09.7.2024,"138,00",,,"136,80","0,00",0,0,0
08.7.2024,"138,00",,,"136,80","0,00",0,0,0
05.7.2024,"138,00","138,00","136,00","136,80","1,33",836,114.368,114.368
04.7.2024,"135,00","135,00","135,00","135,00","-2,88",1.000,135.000,135.000
03.7.2024,"139,00",,,"139,00","0,00",0,0,0
02.7.2024,"139,00",,,"139,00","0,00",0,0,0
01.7.2024,"139,00",,,"139,00","0,00",0,0,0
28.6.2024,"139,00",,,"139,00","0,00",0,0,0
27.6.2024,"139,00",,,"139,00","0,00",0,0,0
26.6.2024,"139,00",,,"139,00","0,00",0,0,0
25.6.2024,"139,00",,,"139,00","0,00",0,0,0
24.6.2024,"139,00",,,"139,00","0,00",0,0,0
20.6.2024,"139,00",,,"139,00","0,00",0,0,0
19.6.2024,"139,00","139,00","139,00","139,00","0,00",100,13.900,13.900
18.6.2024,"139,00",,,"139,00","0,00",0,0,0
17.6.2024,"139,00",,,"139,00","0,00",0,0,0
14.6.2024,"139,00",,,"139,00","0,00",0,0,0
13.6.2024,"139,00","139,00","139,00","139,00","-2,48",1.000,139.000,139.000
12.6.2024,"143,00",,,"142,54","0,00",0,0,0
11.6.2024,"143,00",,,"142,54","0,00",0,0,0
10.6.2024,"143,00",,,"142,54","0,00",0,0,0
07.6.2024,"143,00","143,00","133,00","142,54","9,65",36.757,5.239.356,5.239.356
06.6.2024,"130,00",,,"130,00","0,00",0,0,0
05.6.2024,"130,00",,,"130,00","0,00",0,0,0
04.6.2024,"130,00",,,"130,00","0,00",0,0,0
03.6.2024,"130,00",,,"130,00","0,00",0,0,0
31.5.2024,"130,00",,,"130,00","0,00",0,0,0
30.5.2024,"130,00","130,00","130,00","130,00","-0,31",3.146,408.980,408.980
29.5.2024,"130,00",,,"130,40","0,00",0,0,0
28.5.2024,"130,00",,,"130,40","0,00",0,0,0
27.5.2024,"130,00","131,00","130,00","130,40","-0,46",2.334,304.360,304.360
23.5.2024,"131,00","131,00","131,00","131,00","-1,50",1.000,131.000,131.000
22.5.2024,"133,00",,,"133,00","0,00",0,0,0
21.5.2024,"133,00",,,"133,00","0,00",0,0,0
20.5.2024,"133,00",,,"133,00","0,00",0,0,0
17.5.2024,"133,00","133,00","133,00","133,00","2,06",172,22.876,22.876
16.5.2024,"130,00","131,00","130,00","130,31","0,24",1.951,254.239,254.239
15.5.2024,"130,00",,,"130,00","0,00",0,0,0
14.5.2024,"130,00",,,"130,00","0,00",0,0,0
13.5.2024,"130,00","130,00","130,00","130,00","-0,76",1.223,158.990,158.990
10.5.2024,"131,00",,,"131,00","0,00",0,0,0
09.5.2024,"131,00","131,00","131,00","131,00","0,36",500,65.500,65.500
07.5.2024,"130,00","131,00","130,00","130,53","-1,11",935,122.050,122.050
02.5.2024,"132,00",,,"132,00","0,00",0,0,0
30.4.2024,"132,00",,,"132,00","0,00",0,0,0
29.4.2024,"132,00",,,"132,00","0,00",0,0,0
26.4.2024,"132,00",,,"132,00","0,00",0,0,0
25.4.2024,"132,00","132,00","132,00","132,00","0,00",230,30.360,30.360
23.4.2024,"132,00",,,"132,00","0,00",0,0,0
22.4.2024,"132,00","132,00","132,00","132,00","-1,13",79,10.428,10.428
19.4.2024,"132,00","134,00","132,00","133,51","-3,25",831,110.944,110.944
18.4.2024,"138,00",,,"138,00","0,00",0,0,0
17.4.2024,"138,00","138,00","138,00","138,00","5,34",113,15.594,15.594
16.4.2024,"131,00",,,"131,00","0,00",0,0,0
15.4.2024,"131,00","131,00","131,00","131,00","-3,68",590,77.290,77.290
12.4.2024,"136,00","136,00","136,00","136,00","-1,45",1.916,260.576,260.576
