,Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
0,07.11.2024,"410,00","411,00","410,00","410,29","-1,13",700.0,287.200,287.200
1,06.11.2024,"415,00","415,00","415,00","415,00","-0,72",504.0,209.160,209.160
2,05.11.2024,"418,00","418,00","418,00","418,00","-0,48",13.0,5.434,5.434
3,04.11.2024,"420,00",0,0,"420,00","0,00",0.0,0,0
4,01.11.2024,"420,00","420,00","420,00","420,00","2,42",164.0,68.880,68.880
5,31.10.2024,"410,00","420,00","410,00","410,07","-1,43",1.452,595.420,595.420
6,30.10.2024,"417,00","420,00","415,00","416,02","-2,57",5.064,2.106.748,2.106.748
7,29.10.2024,"427,00",0,0,"427,00","0,00",0.0,0,0
8,28.10.2024,"427,00","427,00","427,00","427,00","2,15",15.0,6.405,6.405
9,25.10.2024,"418,00","418,00","418,00","418,00","-2,56",412.0,172.216,172.216
10,24.10.2024,"429,00","429,00","429,00","429,00","-0,23",135.0,57.915,57.915
11,22.10.2024,"430,00",0,0,"430,00","0,00",0.0,0,0
12,21.10.2024,"430,00",0,0,"430,00","0,00",0.0,0,0
13,18.10.2024,"430,00","430,00","430,00","430,00","2,04",38.0,16.340,16.340
14,17.10.2024,"415,00",0,0,"421,42","0,00",0.0,0,0
15,16.10.2024,"415,00","436,00","415,00","421,42","-3,57",288.0,121.368,121.368
16,15.10.2024,"437,00",0,0,"437,00","0,00",0.0,0,0
17,14.10.2024,"437,00",0,0,"437,00","0,00",0.0,0,0
18,10.10.2024,"437,00","437,00","437,00","437,00","0,00",50.0,21.850,21.850
19,09.10.2024,"437,00",0,0,"437,00","0,00",0.0,0,0
20,08.10.2024,"437,00","437,00","437,00","437,00","7,90",100.0,43.700,43.700
21,07.10.2024,"405,00","405,00","405,00","405,00","0,29",200.0,81.000,81.000
22,04.10.2024,"400,00","415,00","400,00","403,83","-1,50",600.0,242.300,242.300
23,03.10.2024,"410,00","410,00","410,00","410,00","-1,20",200.0,82.000,82.000
24,02.10.2024,"415,00","415,00","415,00","415,00","1,11",1.435,595.525,595.525
25,01.10.2024,"410,00","415,00","410,00","410,45","0,14",220.0,90.300,90.300
26,30.9.2024,"415,00",0,0,"409,86","0,00",0.0,0,0
