,Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
0,07.11.2024,"45.000,00","45.000,00","45.000,00","45.000,00","0,46",42,1.890.000,1.890.000
1,06.11.2024,"44.750,00","45.000,00","44.750,00","44.793,57","-0,25",23,1.030.252,1.030.252
2,05.11.2024,"45.000,00","45.000,00","44.750,00","44.907,11","0,40",90,4.041.640,4.041.640
3,04.11.2024,"44.750,00","44.880,00","44.700,00","44.727,80","-0,02",104,4.651.691,4.651.691
4,01.11.2024,"44.750,00","44.880,00","44.700,00","44.734,90","-0,35",51,2.281.480,2.281.480
5,31.10.2024,"44.890,00","44.890,00","44.890,00","44.890,00","-0,02",23,1.032.470,1.032.470
6,30.10.2024,"44.900,00","44.900,00","44.900,00","44.900,00","0,69",6,269.400,269.400
7,29.10.2024,"44.551,00","44.995,00","44.551,00","44.592,30","-0,81",54,2.407.984,2.407.984
8,28.10.2024,"44.994,00","44.997,00","44.550,00","44.954,46","0,57",63,2.832.131,2.832.131
9,25.10.2024,"44.700,00","44.700,00","44.700,00","44.700,00","0,22",9,402.300,402.300
10,24.10.2024,"44.600,00","44.600,00","44.600,00","44.600,00","-0,22",15,669.000,669.000
11,22.10.2024,"44.700,00","44.700,00","44.700,00","44.700,00","-0,32",20,894.000,894.000
12,21.10.2024,"44.700,00","44.998,00","44.700,00","44.841,90","-0,35",21,941.680,941.680
13,18.10.2024,"44.998,00","44.998,00","44.998,00","44.998,00","0,00",13,584.974,584.974
14,17.10.2024,"44.999,00",0,0,"44.998,80","0,00",0,0,0
15,16.10.2024,"44.999,00","44.999,00","44.998,00","44.998,80","0,00",5,224.994,224.994
16,15.10.2024,"44.998,00","44.998,00","44.998,00","44.998,00","0,00",13,584.974,584.974
17,14.10.2024,"44.995,00","45.000,00","44.990,00","44.997,44","0,14",27,1.214.931,1.214.931
18,10.10.2024,"44.999,00","44.999,00","44.890,00","44.935,56","0,75",27,1.213.260,1.213.260
19,09.10.2024,"44.601,00","44.601,00","44.601,00","44.601,00","-0,22",2,89.202,89.202
20,08.10.2024,"44.700,00","44.701,00","44.700,00","44.700,40","-0,53",10,447.004,447.004
21,07.10.2024,"44.998,00","44.998,00","44.600,00","44.940,43","0,69",14,629.166,629.166
22,04.10.2024,"44.250,00","44.880,00","44.250,00","44.634,62","-0,56",13,580.250,580.250
23,03.10.2024,"44.850,00","44.900,00","44.850,00","44.885,86","-0,03",14,628.402,628.402
24,02.10.2024,"44.900,00","44.900,00","44.900,00","44.900,00","-0,11",10,449.000,449.000
25,01.10.2024,"44.949,00","44.949,00","44.949,00","44.949,00","0,22",5,224.745,224.745
26,30.9.2024,"44.850,00","44.850,00","44.850,00","44.850,00","-0,33",3,134.550,134.550
27,27.9.2024,"44.999,00","44.999,00","44.999,00","44.999,00","0,00",15,674.985,674.985
28,26.9.2024,"45.000,00","45.000,00","45.000,00","45.000,00","0,00",21,945.000,945.000
29,25.9.2024,"45.000,00","45.000,00","44.995,00","44.999,00","0,01",15,674.985,674.985
30,24.9.2024,"44.995,00","44.999,00","44.995,00","44.996,18","-0,01",17,764.935,764.935
31,23.9.2024,"44.999,00","44.999,00","44.999,00","44.999,00","0,00",33,1.484.967,1.484.967
32,20.9.2024,"45.000,00","45.000,00","44.999,00","44.999,14","0,00",7,314.994,314.994
33,19.9.2024,"44.998,00","44.998,00","44.998,00","44.998,00","0,00",40,1.799.920,1.799.920
34,18.9.2024,"44.998,00","45.000,00","44.994,00","44.996,89","0,00",72,3.239.776,3.239.776
35,17.9.2024,"44.999,00","44.999,00","44.999,00","44.999,00","0,22",4,179.996,179.996
36,16.9.2024,"44.900,00","45.000,00","44.900,00","44.901,62","-0,50",117,5.253.490,5.253.490
37,13.9.2024,"44.900,00","45.900,00","44.900,00","45.125,26","0,51",119,5.369.906,5.369.906
38,12.9.2024,"44.895,00","44.895,00","44.895,00","44.895,00","0,01",16,718.320,718.320
39,11.9.2024,"44.895,00",0,0,"44.892,15","0,00",0,0,0
40,10.9.2024,"44.895,00","44.900,00","44.850,00","44.892,15","0,88",82,3.681.156,3.681.156
41,06.9.2024,"44.501,00",0,0,"44.501,00","0,00",0,0,0
42,05.9.2024,"44.501,00","44.501,00","44.501,00","44.501,00","-1,10",2,89.002,89.002
43,04.9.2024,"44.998,00",0,0,"44.997,61","0,00",0,0,0
44,03.9.2024,"44.998,00","45.000,00","44.997,00","44.997,61","0,00",67,3.014.840,3.014.840
45,02.9.2024,"45.000,00","45.000,00","44.997,00","44.998,43","0,86",115,5.174.820,5.174.820
46,30.8.2024,"44.500,00","45.000,00","44.500,00","44.612,81","-0,86",31,1.382.997,1.382.997
47,29.8.2024,"44.999,00","44.999,00","44.999,00","44.999,00","0,00",32,1.439.968,1.439.968
48,27.8.2024,"44.999,00","44.999,00","44.999,00","44.999,00","0,00",6,269.994,269.994
49,26.8.2024,"45.000,00","45.000,00","45.000,00","45.000,00","0,07",51,2.295.000,2.295.000
50,23.8.2024,"45.000,00","45.000,00","44.900,00","44.966,59","1,05",91,4.091.960,4.091.960
51,22.8.2024,"44.503,00","44.503,00","44.500,00","44.500,19","-1,11",156,6.942.030,6.942.030
52,21.8.2024,"44.999,00","44.999,00","44.999,00","44.999,00","1,12",2,89.998,89.998
