Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
07.11.2024,"1.945,00",,,"1.945,00","0,00",0,0,0
06.11.2024,"1.945,00",,,"1.945,00","0,00",0,0,0
05.11.2024,"1.945,00",,,"1.945,00","0,00",0,0,0
04.11.2024,"1.945,00",,,"1.945,00","0,00",0,0,0
01.11.2024,"1.945,00",,,"1.945,00","0,00",0,0,0
31.10.2024,"1.945,00",,,"1.945,00","0,00",0,0,0
30.10.2024,"1.945,00","1.945,00","1.945,00","1.945,00","-0,05",125,243.125,243.125
29.10.2024,"1.946,00","1.946,00","1.946,00","1.946,00","0,00",91,177.086,177.086
28.10.2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",110,214.060,214.060
25.10.2024,"2.006,00",,,"2.006,00","0,00",0,0,0
24.10.2024,"2.006,00",,,"2.006,00","0,00",0,0,0
22.10.2024,"2.006,00",,,"2.006,00","0,00",0,0,0
21.10.2024,"2.006,00",,,"2.006,00","0,00",0,0,0
18.10.2024,"2.006,00","2.006,00","2.006,00","2.006,00","0,00",3,6.018,6.018
17.10.2024,"2.006,00","2.006,00","2.006,00","2.006,00","3,53",6,12.036,12.036
16.10.2024,"1.900,00","1.946,00","1.900,00","1.937,64","-0,43",11,21.314,21.314
15.10.2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",300,583.800,583.800
14.10.2024,"2.006,00","2.006,00","2.006,00","2.006,00","8,43",10,20.060,20.060
10.10.2024,"1.850,00","1.850,00","1.850,00","1.850,00","-7,41",165,305.250,305.250
09.10.2024,"1.998,00","1.998,00","1.998,00","1.998,00","0,00",10,19.980,19.980
08.10.2024,"1.998,00","1.998,00","1.998,00","1.998,00","2,46",14,27.972,27.972
07.10.2024,"1.950,00",,,"1.950,00","0,00",0,0,0
04.10.2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,10",16,31.200,31.200
03.10.2024,"1.920,00",,,"1.947,97","0,00",0,0,0
02.10.2024,"1.920,00",,,"1.947,97","0,00",0,0,0
01.10.2024,"1.920,00",,,"1.947,97","0,00",0,0,0
30.9.2024,"1.920,00",,,"1.947,97","0,00",0,0,0
27.9.2024,"1.920,00",,,"1.947,97","0,00",0,0,0
26.9.2024,"1.920,00",,,"1.947,97","0,00",0,0,0
25.9.2024,"1.920,00","1.972,00","1.920,00","1.947,97","-1,22",760,1.480.460,1.480.460
24.9.2024,"1.972,00","1.972,00","1.972,00","1.972,00","6,71",20,39.440,39.440
23.9.2024,"1.848,00","1.848,00","1.848,00","1.848,00","2,98",57,105.336,105.336
20.9.2024,"1.800,00",,,"1.794,52","0,00",0,0,0
19.9.2024,"1.800,00",,,"1.794,52","0,00",0,0,0
18.9.2024,"1.800,00","1.800,00","1.790,00","1.794,52","3,31",73,131.000,131.000
17.9.2024,"1.790,00","1.790,00","1.721,00","1.737,05","-0,46",43,74.693,74.693
16.9.2024,"1.741,00",,,"1.745,10","0,00",0,0,0
13.9.2024,"1.741,00","1.780,00","1.731,00","1.745,10","1,46",1.423,2.483.271,2.483.271
12.9.2024,"1.720,00","1.720,00","1.720,00","1.720,00","0,00",25,43.000,43.000
11.9.2024,"1.720,00",,,"1.720,00","0,00",0,0,0
10.9.2024,"1.720,00","1.720,00","1.720,00","1.720,00","-1,21",221,380.120,380.120
06.9.2024,"1.741,00",,,"1.741,00","0,00",0,0,0
05.9.2024,"1.741,00","1.741,00","1.741,00","1.741,00","0,00",10,17.410,17.410
04.9.2024,"1.741,00",,,"1.741,00","0,00",0,0,0
03.9.2024,"1.741,00",,,"1.741,00","0,00",0,0,0
02.9.2024,"1.741,00",,,"1.741,00","0,00",0,0,0
30.8.2024,"1.741,00","1.741,00","1.741,00","1.741,00","-2,19",206,358.646,358.646
29.8.2024,"1.780,00","1.780,00","1.780,00","1.780,00","0,32",100,178.000,178.000
27.8.2024,"1.760,00","1.781,00","1.760,00","1.774,32","2,56",88,156.140,156.140
26.8.2024,"1.730,00",,,"1.730,00","0,00",0,0,0
23.8.2024,"1.730,00","1.730,00","1.730,00","1.730,00","0,11",154,266.420,266.420
22.8.2024,"1.739,00","1.739,00","1.691,00","1.728,13","2,20",53,91.591,91.591
21.8.2024,"1.691,00","1.691,00","1.691,00","1.691,00","0,00",349,590.159,590.159
20.8.2024,"1.691,00","1.691,00","1.691,00","1.691,00","5,42",11,18.601,18.601
19.8.2024,"1.604,00",,,"1.604,00","0,00",0,0,0
16.8.2024,"1.604,00","1.604,00","1.604,00","1.604,00","0,25",31,49.724,49.724
15.8.2024,"1.600,00",,,"1.600,00","0,00",0,0,0
14.8.2024,"1.600,00","1.600,00","1.600,00","1.600,00","-2,56",500,800.000,800.000
13.8.2024,"1.642,00","1.642,00","1.642,00","1.642,00","-2,96",21,34.482,34.482
12.8.2024,"1.692,00","1.692,00","1.692,00","1.692,00","-2,98",14,23.688,23.688
09.8.2024,"1.744,00","1.744,00","1.744,00","1.744,00","-0,11",6,10.464,10.464
08.8.2024,"1.746,00",,,"1.746,00","0,00",0,0,2.390.274
07.8.2024,"1.746,00","1.746,00","1.746,00","1.746,00","-3,00",40,69.840,69.840
06.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,0
05.8.2024,"1.800,00",,,"1.800,00","0,00",0,0,0
01.8.2024,"1.800,00","1.800,00","1.800,00","1.800,00","-1,80",20,36.000,36.000
31.7.2024,"1.833,00","1.833,00","1.833,00","1.833,00","-2,96",110,201.630,201.630
30.7.2024,"1.889,00","1.889,00","1.889,00","1.889,00","8,45",10,18.890,18.890
29.7.2024,"1.749,00","1.749,00","1.640,00","1.741,88","6,21",153,266.507,266.507
26.7.2024,"1.640,00","1.640,00","1.640,00","1.640,00","2,50",10,16.400,16.400
25.7.2024,"1.600,00","1.600,00","1.600,00","1.600,00","1,24",75,120.000,120.000
24.7.2024,"1.590,00","1.590,00","1.580,00","1.580,38","-1,23",104,164.360,164.360
23.7.2024,"1.600,00","1.600,00","1.600,00","1.600,00","0,02",59,94.400,94.400
22.7.2024,"1.600,00","1.600,00","1.599,00","1.599,75","-0,01",200,319.950,319.950
19.7.2024,"1.600,00","1.600,00","1.599,00","1.599,92","0,00",416,665.568,665.568
18.7.2024,"1.600,00","1.600,00","1.600,00","1.600,00","3,23",50,80.000,80.000
17.7.2024,"1.550,00","1.550,00","1.550,00","1.550,00","1,71",38,58.900,58.900
16.7.2024,"1.524,00",,,"1.524,00","0,00",0,0,2.612.200
15.7.2024,"1.524,00",,,"1.524,00","0,00",0,0,6.292.960
12.7.2024,"1.524,00",,,"1.524,00","0,00",0,0,0
11.7.2024,"1.524,00",,,"1.524,00","0,00",0,0,0
10.7.2024,"1.524,00","1.524,00","1.524,00","1.524,00","1,60",30,45.720,45.720
09.7.2024,"1.500,00","1.500,00","1.500,00","1.500,00","1,37",50,75.000,75.000
08.7.2024,"1.480,00",,,"1.479,67","0,00",0,0,0
05.7.2024,"1.480,00","1.480,00","1.479,00","1.479,67","-0,02",203,300.373,300.373
04.7.2024,"1.480,00",,,"1.480,00","0,00",0,0,0
03.7.2024,"1.480,00","1.480,00","1.480,00","1.480,00","0,05",69,102.120,102.120
02.7.2024,"1.480,00",,,"1.479,25","0,00",0,0,0
01.7.2024,"1.480,00","1.480,00","1.452,00","1.479,25","1,15",75,110.944,110.944
28.6.2024,"1.480,00",,,"1.462,50","0,00",0,0,0
27.6.2024,"1.480,00","1.480,00","1.450,00","1.462,50","0,87",12,17.550,17.550
26.6.2024,"1.450,00",,,"1.449,84","0,00",0,0,0
25.6.2024,"1.450,00",,,"1.449,84","0,00",0,0,0
24.6.2024,"1.450,00",,,"1.449,84","0,00",0,0,0
20.6.2024,"1.450,00",,,"1.449,84","0,00",0,0,0
19.6.2024,"1.450,00","1.450,00","1.449,00","1.449,84","-0,01",234,339.262,339.262
18.6.2024,"1.450,00",,,"1.450,00","0,00",0,0,0
17.6.2024,"1.450,00",,,"1.450,00","0,00",0,0,0
14.6.2024,"1.450,00","1.450,00","1.450,00","1.450,00","1,40",17,24.650,24.650
13.6.2024,"1.430,00","1.430,00","1.430,00","1.430,00","0,29",6,8.580,8.580
12.6.2024,"1.430,00",,,"1.425,85","0,00",0,0,0
11.6.2024,"1.430,00",,,"1.425,85","0,00",0,0,0
10.6.2024,"1.430,00",,,"1.425,85","0,00",0,0,0
07.6.2024,"1.430,00",,,"1.425,85","0,00",0,0,0
06.6.2024,"1.430,00",,,"1.425,85","0,00",0,0,0
05.6.2024,"1.430,00","1.430,00","1.420,00","1.425,85","1,41",272,387.830,387.830
04.6.2024,"1.406,00",,,"1.406,00","0,00",0,0,0
03.6.2024,"1.406,00",,,"1.406,00","0,00",0,0,0
31.5.2024,"1.406,00",,,"1.406,00","0,00",0,0,0
30.5.2024,"1.406,00","1.406,00","1.406,00","1.406,00","-5,00",106,149.036,149.036
29.5.2024,"1.480,00",,,"1.480,00","0,00",0,0,0
28.5.2024,"1.480,00",,,"1.480,00","0,00",0,0,0
27.5.2024,"1.480,00",,,"1.480,00","0,00",0,0,0
23.5.2024,"1.480,00","1.480,00","1.480,00","1.480,00","1,40",100,148.000,148.000
22.5.2024,"1.460,00","1.460,00","1.459,00","1.459,50","0,03",200,291.900,291.900
21.5.2024,"1.459,00","1.459,00","1.459,00","1.459,00","0,33",40,58.360,58.360
20.5.2024,"1.430,00","1.459,00","1.430,00","1.454,17","0,74",600,872.500,872.500
17.5.2024,"1.450,00","1.462,00","1.420,00","1.443,49","1,65",289,417.170,417.170
16.5.2024,"1.420,00","1.420,00","1.420,00","1.420,00","-1,73",31,44.020,44.020
15.5.2024,"1.445,00","1.445,00","1.445,00","1.445,00","-0,97",89,128.605,128.605
14.5.2024,"1.460,00",,,"1.459,20","0,00",0,0,0
13.5.2024,"1.460,00",,,"1.459,20","0,00",0,0,0
10.5.2024,"1.460,00","1.460,00","1.450,00","1.459,20","0,48",348,507.800,507.800
09.5.2024,"1.458,00",,,"1.452,24","0,00",0,0,0
07.5.2024,"1.458,00",,,"1.452,24","0,00",0,0,0
02.5.2024,"1.458,00",,,"1.452,24","0,00",0,0,0
