,Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
0,07.11.2024,"7.200,00",0,0,"7.200,00","0,00",0,0,0
1,06.11.2024,"7.200,00",0,0,"7.200,00","0,00",0,0,0
2,05.11.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,88",10,72.000,72.000
3,04.11.2024,"7.285,00","7.285,00","7.100,00","7.137,00","-2,02",10,71.370,71.370
4,01.11.2024,"7.284,00","7.284,00","7.284,00","7.284,00","2,59",7,50.988,50.988
5,31.10.2024,"7.100,00",0,0,"7.100,00","0,00",0,0,0
6,30.10.2024,"7.100,00",0,0,"7.100,00","0,00",0,0,0
7,29.10.2024,"7.100,00",0,0,"7.100,00","0,00",0,0,0
8,28.10.2024,"7.100,00",0,0,"7.100,00","0,00",0,0,0
9,25.10.2024,"7.100,00",0,0,"7.100,00","0,00",0,0,0
10,24.10.2024,"7.100,00",0,0,"7.100,00","0,00",0,0,0
11,22.10.2024,"7.100,00",0,0,"7.100,00","0,00",0,0,0
12,21.10.2024,"7.100,00","7.100,00","7.100,00","7.100,00","-1,39",20,142.000,142.000
13,18.10.2024,"7.200,00",0,0,"7.200,00","0,00",0,0,0
14,17.10.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",11,79.200,79.200
15,16.10.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",130,936.000,936.000
16,15.10.2024,"7.200,00","7.200,00","7.200,00","7.200,00","-1,22",685,4.932.000,4.932.000
17,14.10.2024,"7.289,00",0,0,"7.289,00","0,00",0,0,0
18,10.10.2024,"7.289,00",0,0,"7.289,00","0,00",0,0,0
19,09.10.2024,"7.289,00",0,0,"7.289,00","0,00",0,0,0
20,08.10.2024,"7.289,00",0,0,"7.289,00","0,00",0,0,0
21,07.10.2024,"7.289,00",0,0,"7.289,00","0,00",0,0,0
22,04.10.2024,"7.289,00",0,0,"7.289,00","0,00",0,0,0
23,03.10.2024,"7.289,00",0,0,"7.289,00","0,00",0,0,0
24,02.10.2024,"7.289,00",0,0,"7.289,00","0,00",0,0,0
25,01.10.2024,"7.289,00","7.289,00","7.289,00","7.289,00","1,96",10,72.890,72.890
26,30.9.2024,"7.150,00","7.150,00","7.149,00","7.149,13","-0,71",287,2.051.800,2.051.800
27,27.9.2024,"7.200,00",0,0,"7.200,00","0,00",0,0,0
28,26.9.2024,"7.200,00","7.200,00","7.200,00","7.200,00","2,86",10,72.000,72.000
29,25.9.2024,"7.000,00","7.000,00","7.000,00","7.000,00","-0,30",53,371.000,371.000
30,24.9.2024,"7.000,00","7.030,00","7.000,00","7.020,91","-1,81",33,231.690,231.690
31,23.9.2024,"7.150,00",0,0,"7.150,00","0,00",0,0,0
32,20.9.2024,"7.150,00",0,0,"7.150,00","0,00",0,0,0
33,19.9.2024,"7.150,00","7.150,00","7.150,00","7.150,00","1,71",500,3.575.000,3.575.000
34,18.9.2024,"7.030,00","7.030,00","7.030,00","7.030,00","0,12",36,253.080,253.080
35,17.9.2024,"7.050,00",0,0,"7.021,43","0,00",0,0,0
36,16.9.2024,"7.050,00","7.050,00","7.000,00","7.021,43","0,18",35,245.750,245.750
37,13.9.2024,"7.000,00","7.149,00","7.000,00","7.008,47","0,46",174,1.219.473,1.219.473
38,12.9.2024,"7.000,00","7.000,00","6.970,00","6.976,38","0,09",127,886.000,886.000
39,11.9.2024,"6.970,00","6.970,00","6.970,00","6.970,00","-0,14",50,348.500,348.500
40,10.9.2024,"6.980,00",0,0,"6.980,00","0,00",0,0,0
41,06.9.2024,"6.980,00","6.980,00","6.980,00","6.980,00","-0,03",80,558.400,558.400
42,05.9.2024,"7.000,00",0,0,"6.982,35","0,00",0,0,0
43,04.9.2024,"7.000,00",0,0,"6.982,35","0,00",0,0,0
44,03.9.2024,"7.000,00",0,0,"6.982,35","0,00",0,0,0
45,02.9.2024,"7.000,00",0,0,"6.982,35","0,00",0,0,0
46,30.8.2024,"7.000,00",0,0,"6.982,35","0,00",0,0,0
47,29.8.2024,"7.000,00",0,0,"6.982,35","0,00",0,0,0
48,27.8.2024,"7.000,00","7.000,00","6.900,00","6.982,35","1,93",34,237.400,237.400
49,26.8.2024,"6.850,00",0,0,"6.850,00","0,00",0,0,0
50,23.8.2024,"6.850,00",0,0,"6.850,00","0,00",0,0,0
51,22.8.2024,"6.850,00","6.850,00","6.850,00","6.850,00","-0,72",30,205.500,205.500
52,21.8.2024,"6.900,00",0,0,"6.900,00","0,00",0,0,0
53,20.8.2024,"6.900,00","6.900,00","6.900,00","6.900,00","-0,73",50,345.000,345.000
54,19.8.2024,"6.951,00",0,0,"6.950,72","0,00",0,0,0
55,16.8.2024,"6.951,00",0,0,"6.950,72","0,00",0,0,0
56,15.8.2024,"6.951,00","6.951,00","6.950,00","6.950,72","0,01",36,250.226,250.226
57,14.8.2024,"6.950,00","6.950,00","6.950,00","6.950,00","-0,56",59,410.050,410.050
58,13.8.2024,"6.950,00",0,0,"6.989,00","0,00",0,0,0
59,12.8.2024,"6.950,00","7.000,00","6.950,00","6.989,00","1,11",50,349.450,349.450
60,09.8.2024,"6.900,00","7.100,00","6.900,00","6.912,50","-1,24",16,110.600,110.600
61,08.8.2024,"6.999,00","6.999,00","6.999,00","6.999,00","-0,01",20,139.980,139.980
62,07.8.2024,"7.000,00","7.000,00","7.000,00","7.000,00","0,00",62,434.000,434.000
63,06.8.2024,"7.000,00",0,0,"7.000,00","0,00",0,0,0
64,05.8.2024,"7.000,00","7.000,00","7.000,00","7.000,00","-2,20",40,280.000,280.000
65,01.8.2024,"7.150,00","7.190,00","7.150,00","7.157,75","-0,45",71,508.200,508.200
66,31.7.2024,"7.190,00","7.190,00","7.190,00","7.190,00","0,00",50,359.500,359.500
67,30.7.2024,"7.190,00","7.190,00","7.190,00","7.190,00","0,00",50,359.500,359.500
68,29.7.2024,"7.200,00","7.200,00","7.180,00","7.190,22","0,14",92,661.500,661.500
69,26.7.2024,"7.180,00","7.180,00","7.180,00","7.180,00","-0,26",60,430.800,430.800
70,25.7.2024,"7.199,00","7.199,00","7.199,00","7.199,00","-0,01",5,35.995,35.995
71,24.7.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",10,72.000,72.000
72,23.7.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,00",4,28.800,28.800
73,22.7.2024,"7.200,00","7.200,00","7.200,00","7.200,00","0,70",20,144.000,144.000
74,19.7.2024,"7.150,00",0,0,"7.150,00","0,00",0,0,0
75,18.7.2024,"7.150,00","7.150,00","7.150,00","7.150,00","2,88",3,21.450,21.450
76,17.7.2024,"6.950,00","6.950,00","6.950,00","6.950,00","-0,71",32,222.400,222.400
77,16.7.2024,"7.000,00","7.000,00","7.000,00","7.000,00","0,36",10,70.000,70.000
78,15.7.2024,"7.000,00",0,0,"6.975,00","0,00",0,0,0
79,12.7.2024,"7.000,00",0,0,"6.975,00","0,00",0,0,0
80,11.7.2024,"7.000,00","7.000,00","6.950,00","6.975,00","0,36",20,139.500,139.500
81,10.7.2024,"6.950,00",0,0,"6.950,00","0,00",0,0,0
82,09.7.2024,"6.950,00",0,0,"6.950,00","0,00",0,0,0
83,08.7.2024,"6.950,00",0,0,"6.950,00","0,00",0,0,0
84,05.7.2024,"6.950,00","6.950,00","6.950,00","6.950,00","0,08",40,278.000,278.000
85,04.7.2024,"6.900,00","7.000,00","6.900,00","6.944,44","0,64",54,375.000,375.000
86,03.7.2024,"6.900,00",0,0,"6.900,00","0,00",0,0,0
87,02.7.2024,"6.900,00",0,0,"6.900,00","0,00",0,0,0
88,01.7.2024,"6.900,00","6.900,00","6.900,00","6.900,00","2,22",10,69.000,69.000
89,28.6.2024,"6.750,00","6.750,00","6.750,00","6.750,00","0,75",20,135.000,135.000
90,27.6.2024,"6.700,00",0,0,"6.700,00","0,00",0,0,0
91,26.6.2024,"6.700,00","6.700,00","6.700,00","6.700,00","-1,47",6,40.200,40.200
92,25.6.2024,"6.800,00",0,0,"6.800,00","0,00",0,0,0
93,24.6.2024,"6.800,00",0,0,"6.800,00","0,00",0,0,0
94,20.6.2024,"6.800,00",0,0,"6.800,00","0,00",0,0,0
95,19.6.2024,"6.800,00",0,0,"6.800,00","0,00",0,0,0
96,18.6.2024,"6.800,00",0,0,"6.800,00","0,00",0,0,0
97,17.6.2024,"6.800,00",0,0,"6.800,00","0,00",0,0,0
98,14.6.2024,"6.800,00",0,0,"6.800,00","0,00",0,0,0
99,13.6.2024,"6.800,00",0,0,"6.800,00","0,00",0,0,0
100,12.6.2024,"6.800,00","6.800,00","6.800,00","6.800,00","1,49",165,1.122.000,1.122.000
101,11.6.2024,"6.700,00",0,0,"6.700,00","0,00",0,0,0
102,10.6.2024,"6.700,00","6.700,00","6.700,00","6.700,00","0,00",101,676.700,676.700
103,07.6.2024,"6.700,00",0,0,"6.700,00","0,00",0,0,0
104,06.6.2024,"6.700,00","6.700,00","6.700,00","6.700,00","-0,74",40,268.000,268.000
105,05.6.2024,"6.750,00","6.750,00","6.750,00","6.750,00","-1,15",45,303.750,303.750
106,04.6.2024,"6.800,00",0,0,"6.828,57","0,00",0,0,0
107,03.6.2024,"6.800,00","6.850,00","6.800,00","6.828,57","-1,61",70,478.000,478.000
108,31.5.2024,"6.940,00",0,0,"6.940,00","0,00",0,0,0
109,30.5.2024,"6.940,00","6.940,00","6.940,00","6.940,00","-0,86",25,173.500,173.500
110,29.5.2024,"7.000,00",0,0,"7.000,00","0,00",0,0,0
111,28.5.2024,"7.000,00",0,0,"7.000,00","0,00",0,0,0
112,27.5.2024,"7.000,00",0,0,"7.000,00","0,00",0,0,0
113,23.5.2024,"7.000,00","7.000,00","7.000,00","7.000,00","2,16",2,14.000,14.000
114,22.5.2024,"6.850,00",0,0,"6.851,96","0,00",0,0,0
115,21.5.2024,"6.850,00","6.950,00","6.850,00","6.851,96","-1,69",510,3.494.500,3.494.500
116,20.5.2024,"6.970,00",0,0,"6.970,00","0,00",0,0,0
117,17.5.2024,"6.970,00",0,0,"6.970,00","0,00",0,0,0
118,16.5.2024,"6.970,00","6.970,00","6.970,00","6.970,00","-2,99",10,69.700,69.700
119,15.5.2024,"7.200,00","7.200,00","7.100,00","7.184,62","0,34",325,2.335.000,2.335.000
120,14.5.2024,"7.160,00","7.161,00","7.160,00","7.160,08","-1,24",100,716.008,716.008
121,13.5.2024,"7.250,00",0,0,"7.249,71","0,00",0,0,0
122,10.5.2024,"7.250,00","7.250,00","7.248,00","7.249,71","0,50",244,1.768.930,1.768.930
123,09.5.2024,"7.245,00","7.245,00","7.200,00","7.213,31","1,31",71,512.145,512.145
124,07.5.2024,"7.119,00","7.120,00","7.119,00","7.119,71","-1,58",55,391.584,391.584
125,02.5.2024,"7.240,00","7.240,00","7.220,00","7.234,29","0,36",119,860.880,860.880
126,30.4.2024,"7.220,00","7.220,00","7.200,00","7.208,42","0,23",190,1.369.600,1.369.600
127,29.4.2024,"7.200,00","7.220,00","7.150,00","7.191,58","-0,18",377,2.711.227,13.515.407
128,26.4.2024,"7.220,00","7.220,00","7.200,00","7.204,90","0,07",102,734.900,734.900
